1117,1,0
1117,2,1
1117,3,0
1117,4,0
1117,5,0
1117,6,0
1117,7,0
1117,8,0
1117,9,1
1119,1,1
1119,2,0
1119,3,0
1119,4,0
1119,5,0
1119,6,0
1119,7,0
1119,8,0
1119,9,1
1122,1,0
1122,2,1
1122,3,0
1122,4,1
1122,5,0
1122,6,0
1122,7,0
1122,8,0
1122,9,1
1130,1,0
1130,2,0
1130,3,1
1130,4,0
1130,5,0
1130,6,0
1130,7,0
1130,8,1
1130,9,1
1138,1,0
1138,2,0
1138,3,1
1138,4,0
1138,5,0
1138,6,0
1138,7,1
1138,8,1
1138,9,0
1141,1,0
1141,2,0
1141,3,1
1141,4,0
1141,5,0
1141,6,0
1141,7,1
1141,8,1
1141,9,0
1159,1,0
1159,2,0
1159,3,1
1159,4,0
1159,5,1
1159,6,0
1159,7,1
1159,8,1
1159,9,0
1184,1,1
1184,2,1
1184,3,0
1184,4,0
1184,5,0
1184,6,0
1184,7,0
1184,8,0
1184,9,1
1079,1,0
1079,2,0
1079,3,0
1079,4,0
1079,5,0
1079,6,0
1079,7,0
1079,8,0
1079,9,1
1259,1,0
1259,2,0
1259,3,0
1259,4,0
1259,5,1
1259,6,0
1259,7,0
1259,8,0
1259,9,1
4011,1,0
4011,2,0
4011,3,0
4011,4,0
4011,5,0
4011,6,0
4011,7,0
4011,8,0
4011,9,1
4026,1,0
4026,2,1
4026,3,0
4026,4,0
4026,5,0
4026,6,0
4026,7,0
4026,8,0
4026,9,0
5000,1,0
5000,2,1
5000,3,1
5000,4,0
5000,5,0
5000,6,0
5000,7,1
5000,8,1
5000,9,0
5012,1,0
5012,2,1
5012,3,1
5012,4,0
5012,5,0
5012,6,0
5012,7,1
5012,8,1
5012,9,0
5035,1,0
5035,2,1
5035,3,1
5035,4,0
5035,5,0
5035,6,0
5035,7,1
5035,8,1
5035,9,0
5045,1,0
5045,2,1
5045,3,1
5045,4,0
5045,5,0
5045,6,0
5045,7,1
5045,8,1
5045,9,0
5114,1,0
5114,2,0
5114,3,1
5114,4,0
5114,5,0
5114,6,0
5114,7,1
5114,8,1
5114,9,0
5144,1,0
5144,2,0
5144,3,1
5144,4,0
5144,5,0
5144,6,0
5144,7,1
5144,8,1
5144,9,0
5147,1,0
5147,2,0
5147,3,1
5147,4,0
5147,5,0
5147,6,0
5147,7,1
5147,8,1
5147,9,0
5166,1,0
5166,2,0
5166,3,1
5166,4,0
5166,5,0
5166,6,0
5166,7,1
5166,8,1
5166,9,0
5293,1,0
5293,2,0
5293,3,1
5293,4,0
5293,5,0
5293,6,0
5293,7,1
5293,8,1
5293,9,0
5295,1,0
5295,2,0
5295,3,1
5295,4,0
5295,5,0
5295,6,0
5295,7,1
5295,8,1
5295,9,0
5300,1,0
5300,2,0
5300,3,1
5300,4,0
5300,5,0
5300,6,0
5300,7,1
5300,8,1
5300,9,0
5312,1,0
5312,2,0
5312,3,1
5312,4,0
5312,5,0
5312,6,0
5312,7,1
5312,8,1
5312,9,0
5324,1,0
5324,2,0
5324,3,1
5324,4,0
5324,5,0
5324,6,0
5324,7,1
5324,8,1
5324,9,0
5348,1,0
5348,2,0
5348,3,1
5348,4,0
5348,5,0
5348,6,0
5348,7,1
5348,8,1
5348,9,0
6007,1,0
6007,2,1
6007,3,1
6007,4,0
6007,5,0
6007,6,0
6007,7,0
6007,8,1
6007,9,0
6015,1,0
6015,2,1
6015,3,1
6015,4,0
6015,5,0
6015,6,0
6015,7,0
6015,8,1
6015,9,0
6024,1,0
6024,2,1
6024,3,1
6024,4,0
6024,5,0
6024,6,0
6024,7,0
6024,8,1
6024,9,0
6037,1,0
6037,2,1
6037,3,1
6037,4,0
6037,5,0
6037,6,0
6037,7,0
6037,8,1
6037,9,0
6149,1,0
6149,2,1
6149,3,1
6149,4,0
6149,5,0
6149,6,0
6149,7,0
6149,8,1
6149,9,1
6222,1,0
6222,2,0
6222,3,1
6222,4,0
6222,5,1
6222,6,0
6222,7,0
6222,8,0
6222,9,0
6228,1,0
6228,2,0
6228,3,1
6228,4,0
6228,5,1
6228,6,0
6228,7,0
6228,8,1
6228,9,0
6480,1,0
6480,2,1
6480,3,1
6480,4,0
6480,5,0
6480,6,0
6480,7,0
6480,8,1
6480,9,0
8001,1,1
8001,2,0
8001,3,0
8001,4,0
8001,5,0
